# Generated from bridge-api/intelligence-knowledge-graph. Do not hand-edit.
edgeId,sourceNodeId,relationshipType,targetNodeId,relationshipVersion,relationshipConfidence,relationshipSource,testOnly,relationshipHash
edge:71293f6e09a52ec48073,Service:intelligence-execution-platform,ALLOWS,Execution Profile:REAL_TIME_OPERATIONAL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1c568b3727c0e64c2aa05ba5dfe9335d916f04caa9cca44c008bd73c8dfa02ae
edge:5bae1c5e679374d32ee8,Service:intelligence-execution-platform,ALLOWS,Execution Profile:BACKGROUND_BATCH,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,4c669ecba479285a79896c21bd5b95fcfa4f3e4bc5f7e15b72acfa51996f323b
edge:f4942aa81c582c448773,Service:intelligence-execution-platform,ALLOWS,Execution Profile:SAFETY_CRITICAL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,df0035962902fd518a0c779e70421ca2047975200fbb8702a62cbe1e540a47bb
edge:434ec066b85e284e5b44,Service:intelligence-execution-platform,ALLOWS,Execution Profile:PRIVACY_RESTRICTED,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,032ccdb7c1159da8ca49835ce92f5567ce7a1e7a9b7651f8a57b9e53b78a2ee1
edge:ca041635a49107ba33a9,Service:intelligence-execution-platform,ALLOWS,Execution Profile:PREMIUM_APPROVAL_REQUIRED,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,f744141bade4b74ca7cb9d6a667c1fca5a3522378160a0d60a081eb177278863
edge:75787af7e20b7106cd84,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/benchmarkDatasetFramework.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,9402b359f78eb5446c95ce6073668e4716736a7af144e99a1ceb588b627c5817
edge:47aefc6c8f013d36b774,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/capabilityRegistry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,845f3063f36f124a0aaac1a4ad918d825db8e874f862055a2ad99d4c56aaa991
edge:57a21bb2d72991d85300,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/constants.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,a4a80a03fb47c59672172ed76d1735fef9f544d8d4d51c3bc86b6bd3f06660a6
edge:773c8f678c84a46d03e1,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/contracts.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,bf27246d2b42fb826a302ff2be61172492c3feb1ab1135a5e7b505fa11ae4389
edge:0be6f9db0bfb385679e8,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/costGovernance.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,b56eb1bcd16cee5e3265a90c7fc1a150672285eb148f40e64f4c3e7f3c7095f4
edge:7c2393d510ee40359d48,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/customerIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,9e49097de94a202419498d331c791fe1d3a68fe6ff8b7dc7a62dd91798740dd0
edge:7d11d2107cb595480bc1,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/dashboardDataGeneration.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,2154e67b255a996ac7b34dffcc1726e737a86321b5582b5bea75aefebed81910
edge:57e403487d2427501cd2,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/decisionGovernance.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,90db51486cc802f9f4f0e28c0fbc936a5809ef2ec4f6ad1c62c0a9ca98b42e68
edge:878c4e696cd8d8367fd9,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/deterministicExecutor.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,f9f334e41febfbe33e3435593ae15c862e106609b8aa88ec6273e97ee1d31c0d
edge:994f5ba7d5808c64ac52,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/driverIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,2661d855a18d7e833bd4dc96fe62c7f4034987153ef3696343844a5bf418ecb1
edge:8f4e6eca5481d836afe5,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/enterpriseCapabilityRegistry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,89d1b245679762e6a8fb32f7f48a96cda5eb38950ac66e70f2f8b99f6c546445
edge:976b80fff07c02f6acda,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/errors.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,0191862889098d3ea15c5ff25c75f7a0bbcdcbafdf410bae7c8363bec8b80876
edge:799d67a95ad0a0e03680,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/evaluationEngine.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,6915de3d7de73d84434238e8a587b4175dd3449cdae562cabf875c130480ee2a
edge:aa536f5d0ba29b288b1b,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/executionDecisionEngine.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1cae3b31a109121988f15902e39c874f8c09f570a27d6d9609fd5b158e6f2b9c
edge:e81c71e85f7d5f977f89,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/fleetIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,2314aaaf91e0d4830b857495b22c4c3825090efa9ee2c0f0e67d694975cf1428
edge:77d9ea66098f9a1040b8,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/frameworkValidation.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,23034b4f4318e40e2b527cfb58bea4134d98b0db3c14aa5be7303e00d0e48630
edge:622d18a1e21fd947c0c1,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/index.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1a8c64d2c851e1e47d5d0901a5c54fab51871e40d15ae406418403bf391154b5
edge:c9866434302f806c8b74,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/intelligenceCapabilityOrchestration.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,e8b5d4e88f892369b3fd86fc8e50900efd983b93e16e711d52ace36f139f417d
edge:e75a3b84927f3e3e13c5,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/intelligenceLifecycleFramework.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,22957e712ef04f5939bc726b3d075ca1dabe75d332968e8da94bfa87fba3f44d
edge:f54515727ea01ef83c95,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/knowledgeGraph.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,9062b09cdb66c43b05f8a93aaf32ab628d0695c7ab8def2c2ca40a9a084a9ad3
edge:da3a2d6234276f99399f,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/legacyAiAdapter.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,08791c8d17a0b751550240011518202ffdee75a56aa588fe70c927aae12f09fd
edge:345fce8bb4622052eb91,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/money.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,7a2bb5675477623d73a64e40f54aa8cff5d910445c0f4c9517e308e800b47276
edge:cae3ea0e5b662be5d39f,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/operationsIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,c426bcb383dda45e321af894a17ceca1aff7bc25c6d6ad51e87167479843cea2
edge:83b4c2753a90c0344544,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/outputValidator.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,3d5576bc84e693f46638c4a1bcd2484f6dd3c9298963b4f1b5d7dbcc21390c88
edge:d4c07f253b06851b0b87,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/planner.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,a8cbbaeaab6b9a36bef7a46d721bb384865a5c0e10e5ceffeccfa7b4e309fd8d
edge:465187c6e3987ced55d8,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/policyEngine.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1364cd72ad13047429594c170605159618e7455b7d0674cb8e669af264f1d1c5
edge:0281197c81ad75452719,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/profiles.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,23f26b2edd693a1e7a6a1161db99fc850e14432a012971413de97d577b0bee1b
edge:93961218e52f2a95872b,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/promptRegistry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,08d90206c4a640ad9939df347c7faf9289d9d1b45f3d55e59f87915fe9a1e758
edge:b7fe4e3ebab7e60d71be,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/providerAdapters.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,0c2e9817b52187e358d8ab3d7f007c958d4884718e5fe5ace1e419a56dd5f4e8
edge:e8c60505b66f966f95b8,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/routeIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,6e4c1d208d15bc50143406e6569d76357ed98b011af77195a53485256525144e
edge:f986f3d81efafa459225,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/safetyIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,245dc84a88e52220ac3cb24ec1aba3ee11486e9eec976882ee8dc2b6efb20f51
edge:4d8099430fea0f50cac0,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/scoringEngine.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,003a30132d56200917adccf5c03be7667bb5a87bb24b7529e52886a76efe6414
edge:8b32f53058b8c7836e0f,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/selectedD2ModelRegistry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,812953db962709cbb3832716d1cd8f075a13ab9fd370ec249d4d1958270af1e7
edge:b0edc99b57eb4219e5d3,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/selectedD2NonProductionExecution.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,18c161ad63e76b90a7079bf50827ebb72e072635b42fcdcdcf3701c1efa29504
edge:43edbd70459ccb7dcaf3,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/strategyRegistry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,2aa7505c61ddde56784e68f18f7331c9ca9e89562d742ca3d0d06cc90efe147a
edge:213377ff7b3757bfa382,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/supervisorAiAdapter.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,85572fdd12dacce91e69de8e4cfb3e8d22150f0b3bad281bcceba364e22af36e
edge:f6e6911a5f505ec7729f,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/supervisorOperationalIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,55d65b591c4731602eb2eba4e9946621b45fb54fd5d56f3f6de7301d6902146f
edge:92d31aa7834fb1773f58,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/telemetry.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,a69abd811b491ee462fd12d14171932fd134f1fdab8d22e89690867113b41404
edge:18e12e50be43a9b6e3b1,Service:intelligence-execution-platform,IMPLEMENTS,Repository Module:bridge-api/services/intelligenceExecution/warehouseIntelligence.js,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,ce5877a13150694c1e160db311afa2bf8108dff26314a1a0e1fd99dd79a84b2d
edge:4a3ca0d28db0602da5c9,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-benchmark-datasets.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,efa27eb4894868c1d32ad045b5695231734e795fa0507967e81d588fbb4d71fb
edge:69ae6da1a98062cd82a8,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-capability-registry.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,8f984cc55642874b5583d3edadc089a0153b6d5dd23e0fab8d847fb28d955d92
edge:818c3f25eab0b77d26fe,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-cost-governance.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,5d4a1d3d236f20a4b2ee7b80e6fdeaf1599149982d97531f3244a208bbc7fd94
edge:087c4fd7dbc7fe202df7,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-decision-governance.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,27488be96fa6996570538b414085b785406a9cf691a11b4c255109b9b3c5c830
edge:42343e963e5e223f6a30,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-execution-decision-engine.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,ed22b59cf05fccb0f070e5d8ff27d73ae2fc39076eaab8518ca68f0f3578d96e
edge:a60c8c7e13224780ef62,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-execution-evaluation-engine.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,03ebaba7c5dc5dccf038afe6d14a7ce1b43e5a09ae241ed618cfd9e303ab82ca
edge:40eef2e3b576dc731633,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-fleet-intelligence-scoring-foundation.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,576d8481af9a0837375827ea2dbbcf1e69986c2f69d246d7a917b70138e57bee
edge:6e50085ab41509bb12ac,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-knowledge-graph.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,eb1dc15900905e0b52d3951d704a37d5913ff9fc06f93572aadce57beb05dec8
edge:9c71f4c1bd2eaee30f29,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-ms001-capability-classification.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,ed9295dc045fa097ce9e8b631a7c16cdb4c45bb9ec71ea86534f07dcde9ad16e
edge:30ddc8d1a9227d236889,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-ms002-benchmark-acceptance.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,964a15ebb3b952e95b4461d8cf545a9c3b6723f5893f31afa663a91bb52754d2
edge:a51a06ee4872cb192548,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-ms004-benchmark-results.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,3c77d05991edacb0ccec0805d77190e472d2545591bcd1d9a2617b2847c6eba5
edge:d6ceccd19cddf9d61523,Package:bridge-api,TESTS,Script:bridge-api/scripts/check-scoring-engine.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,837f96e566aeffd74674f6209c4b69bdf8edebb29edcb1dfdb8acd5923a24f35
edge:f50e3293f86296b85baa,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-benchmark-dataset-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,74097931718d92cb27010f7b87a5f7d287aec6c451735285a459f66509864c44
edge:426b830677026ceca4e8,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-capability-registry-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,235929e8eef5d5410a6ec86d0a4e81b279d411d6c852f2e9d15da2620605eb78
edge:73f71dbd8b08ebdb4049,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-cost-governance-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,df95ef0efcaaf832cd94d75937944a4871f4b2600adfbb303332b91373295dc9
edge:951b093b043baff01a29,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-decision-governance-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,4e58cce8247f8cc986801529ca6d976c9d5c802856d403fb9b3ca319f744d94c
edge:bb94af72e92616c116eb,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-execution-decision-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,3081aac13fa9003e04d8f5cbcdf9eac6386f98e89784bfab9c7da0cb6b6f10fb
edge:7c8a1b3662205c8639f4,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-execution-evaluation-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,51aae423cb54d1b0698fda356d1b4f39da0c307829e4c1b2d8b855ae068572ff
edge:823b60aacf67f01c0075,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-knowledge-graph-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,f5c113492f4687230e7e5daf5b9bcea43fe2c1f935a97562a86ba51cd1a65ba0
edge:de6e2045844cee5973b5,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-ms001-capability-classification-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,bab287cc412cdd8018d287d3fadf8772a34c82ca9039266d185a31cb439c4970
edge:b06107b518bf2d15fc5d,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-ms002-benchmark-acceptance-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,d8b2e50db0c0393b4a3cd84a447e0ef02d9d30282e894f5e5c425fcf75e3879c
edge:237cf464ba52b60395e8,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-ms004-benchmark-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,a5aae40a20357fa6f77e16a17f86259a8bcb2873448b75775b719dae5bf75d87
edge:cbbc481e74e7c5ee3de0,Package:bridge-api,TESTS,Script:bridge-api/scripts/generate-scoring-engine-artifacts.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,f43805b27d42dc6a3e85e23b076e9e0dc8d8fee20534f4f5f56db419ad669b49
edge:b63828d8c70fe0e520fb,Package:bridge-api,TESTS,Script:bridge-api/scripts/run-ms004-benchmarks.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1fe3cca14986c00d4cc78ff4bcab3f5a18ae7d8911ee37d8b14c6f0ab6c072d5
edge:6041c159e3c5885d7634,Package:bridge-api,TESTS,Script:bridge-api/scripts/update-benchmark-dataset-hashes.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,594365d28859e223e9be7aaa5b2e9d88816c281468f232141a53b9ac50813e5a
edge:014fb9a823113549c217,Package:bridge-api,TESTS,Script:bridge-api/scripts/validate-fleet-intelligence-scoring-runtime.cjs,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,758c612d611137cc7da65d7410708ee5b9d81cb2020d215cb3fa55faeb2699f1
edge:cf39b2f1d3745158d14d,Service:intelligence-execution-platform,IMPLEMENTS,Capability:text.cleanup,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,25024ec43341adc02c044e5d37d35302495cb9bd8c1880fd6ff90d32ab7536a2
edge:8219bb0ab7802fe1f223,Capability:text.cleanup,HAS_VERSION,Capability Version:text.cleanup@text.cleanup.v1,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,663c39dcdcca51fcdf1c81f4a4009fb521626f243c80c646701e87f6698ffe53
edge:59bd36f2235205a3db5c,Capability:text.cleanup,HAS_HASH,Hash:e21405d5e33f3cb139f47d429388dda5d7c4ee1453b417589d4c1c471ee1078c,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,bf9c89dd0275eba697a488d893ebaba01454f7d67a8bd90b58f97aae702d93b9
edge:a7bce1146b03db78b0d7,Capability:text.cleanup,HAS_VERSION,Lifecycle State:PILOT,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,d18bf292d7a2883c5cedb138ee1badd2603ae1834c9d573ab4b61bb6eaa5c4a1
edge:3b3a0e66b0ebe6c1df03,Capability:text.cleanup,ALLOWS,Execution Strategy:DETERMINISTIC_RULES,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,4ffaf9d07615980638ba4a7722bf82ed34a264101123c57ff8fa1c86cc35f008
edge:85f04b07c796a755765b,Service:intelligence-execution-platform,IMPLEMENTS,Capability:legacy.ai.structured_response,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,30b553dcfbd09950a0c4c49e8183d6e8a8f187b0c7e52bf55546bba575138b71
edge:270da574de28a41fbe3b,Capability:legacy.ai.structured_response,HAS_VERSION,Capability Version:legacy.ai.structured_response@legacy.ai.structured_response.v1,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,c2938516d8e4ee0f7d031e83a8b430ae5f04b1a86aa68f5e501cab5b479db48a
