# Generated from bridge-api/decision-governance. Do not hand-edit.
decisionHistoryRecordId,governanceEventId,eventType,subjectType,subjectId,actorType,eventSequence,previousEventId,eventHash,chainHash
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.011.reproducibility_confirmed,REPRODUCIBILITY_CONFIRMED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,11,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.010.replay_completed,f4b791e802625c4cce5dc37c343f388d889931fb4b33807149bd1f2debc3a756,a945d16a4eb75a69b61daa44b3a6b3fce3c26161862c14c96ffe007d07ec31c3
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.012.attestation_recorded,ATTESTATION_RECORDED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,12,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.011.reproducibility_confirmed,5207803e73fd3890ee33292748be04ef20dae92e809e8d892ce3c668ca339fad,3bf87614991903d64d9a5c1d2d7aebdb39ee9d4d4e91606d352bf75355a152e5
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.013.prior_event_annotated,PRIOR_EVENT_ANNOTATED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,REVIEWER,13,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.012.attestation_recorded,2ed545f9d0293e0ac9fb815ed4bcc95c7198c23da349c1cefd0c0bb08407042a,1eb727beca56835e9019e3a893be1f75fdddbd2becf3ad449e7b798b34dd3c9a
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.001.history_record_created,HISTORY_RECORD_CREATED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,1,,5f03f48fb2c4027df27391730f9a8cde26ab51253f32ca870730631e4ebe994f,d445d7b85df33ff50cd8e38b22fa2cf213d9194c48c3b1d1ebea439148bfbb00
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.002.decision_recorded,DECISION_RECORDED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,2,history.decision.structured_response.initial.offline.v1.record.v1.event.001.history_record_created,04a611dd06b0097d232bc66308c12219ce2e30697fd9163ba5d63ab559582535,3d25abe88b31987b68128d656099f79145351ebda73b7e3fe33636fc0ed59a27
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.003.review_requested,REVIEW_REQUESTED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,3,history.decision.structured_response.initial.offline.v1.record.v1.event.002.decision_recorded,d8c1b0c8898211ad94a9c08cba9f15737fdc43b960b902b8ae31f9910215011d,514c1fb895c8f633ed5ad644c0892924bf1ac6ab26033ec104e49dee77ee05d9
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.004.review_completed,REVIEW_COMPLETED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,REVIEWER,4,history.decision.structured_response.initial.offline.v1.record.v1.event.003.review_requested,8cfc3c755ca363e0b148da1ffc1cac478cd6c540a54ed73be71775a823714f35,1a810417ee98eae8d0d104d8aeb62af5a6dbf02b05e969d83997a14acd14f6c3
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.005.approval_requested,APPROVAL_REQUESTED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,5,history.decision.structured_response.initial.offline.v1.record.v1.event.004.review_completed,55b97a74900173e06b4bb5f0952a74c7ad996bd2175fd581dd3bd4b70aea546e,d764637ad1b7ab68f4606722cfcba8c9278a068998061163b474c6c42bf57121
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.006.approved_with_conditions,APPROVED_WITH_CONDITIONS,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,REVIEWER,6,history.decision.structured_response.initial.offline.v1.record.v1.event.005.approval_requested,e96aed40b84b3288c2addf70a33c9955ab45f6b16672b43d3a3393c565a64378,a64feac729b331c565d37f440e706f3f42bac1f8117f33333759c5dae51c98df
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.007.replay_requested,REPLAY_REQUESTED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,7,history.decision.structured_response.initial.offline.v1.record.v1.event.006.approved_with_conditions,28e303511f4f3017e63655302db8d7a0feabb61eea86916bd620eb6d71aaf6ab,dbd6c8b9ce95b8acddedccdff8fb27d5e179b3308f7a3841e4839718fc62cbfd
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.008.replay_completed,REPLAY_COMPLETED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,8,history.decision.structured_response.initial.offline.v1.record.v1.event.007.replay_requested,222fb34a7fe61620700ea62fe14e6272382e2bd4b9bcf03317941c6c81292112,2908361951f0a3b4fdf67d87f3d2f53d8486e6d14484a77188df2883d7fc9096
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.009.reproducibility_confirmed,REPRODUCIBILITY_CONFIRMED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,9,history.decision.structured_response.initial.offline.v1.record.v1.event.008.replay_completed,ee5c8133a179d5f83aaae0a8416105264e9f571eabf8a59757a24bae3a9bcbd8,2bc7d7a6519d1bd08a167f303e606e9e5694de0bed290375941a3bd005ac6751
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.010.attestation_recorded,ATTESTATION_RECORDED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,SYSTEM,10,history.decision.structured_response.initial.offline.v1.record.v1.event.009.reproducibility_confirmed,56b654d679982c8d1563edd14f242227918403bfa79a53f37a20e5f9bd9814a4,c43cd933b4e5e6dea3fbeb1362a44ddfdb522f26a0eec77033a8504113e2571c
history.decision.structured_response.initial.offline.v1.record.v1,history.decision.structured_response.initial.offline.v1.record.v1.event.011.prior_event_annotated,PRIOR_EVENT_ANNOTATED,EXECUTION_DECISION_RECORD,decision.structured_response.initial.offline.v1.record.v1,REVIEWER,11,history.decision.structured_response.initial.offline.v1.record.v1.event.010.attestation_recorded,b78b056d2329be1ee41ee8ebfdff40e7175b7dcd3509fc5c9092153528d43b4e,80d1432898bdd944987ed84f5fe31716021d4b1350964bb76634203627afc1f8
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.001.history_record_created,HISTORY_RECORD_CREATED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,1,,77bc13f351ead1665445d935518023c43475ecf460d72035f83aa0c4fef9de08,2536fbdb42d7d5799197d881f4d8a481bbec5897d199062c9ba4f18eb0da4ad6
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.002.decision_recorded,DECISION_RECORDED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,2,history.decision.supervisor_report.initial.offline.v1.record.v1.event.001.history_record_created,143f28501831f463a1b534de6a689ef0b2651eeadc3632d5b0196a42465321bb,45872a30b2cf883b43f56d53afa1de8524b7f717ed1e848fa37cf89b47078e37
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.003.review_requested,REVIEW_REQUESTED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,3,history.decision.supervisor_report.initial.offline.v1.record.v1.event.002.decision_recorded,4cf166ecb34a1058a3330614ce3d983483dd7f082fc52e4bbc1bbb6efa00ba7d,c61c11f24528de17cc1993ff50b1e6cfb3fdb0a0221da106ae1dd0898dc8c26d
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.004.review_completed,REVIEW_COMPLETED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,REVIEWER,4,history.decision.supervisor_report.initial.offline.v1.record.v1.event.003.review_requested,2d369f6c579523899119db6f7d807b351b2964a65ea7bd8a5ff487f9c1c92b3b,3af5686981acbf403abbe37d065c271b55aa8097156240d2c1af8e17a523413a
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.005.human_review_required,HUMAN_REVIEW_REQUIRED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,5,history.decision.supervisor_report.initial.offline.v1.record.v1.event.004.review_completed,5a75d350b0aa19f0902427836ca8b570dfc3d986e65a676463ba2946308c58dc,4f763c7280ce606b2211146ea51f9f7c6b26b2250708dfff453f5969b906e6f5
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.006.human_review_unresolved,HUMAN_REVIEW_UNRESOLVED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,UNKNOWN,6,history.decision.supervisor_report.initial.offline.v1.record.v1.event.005.human_review_required,9088080a870fe4851b048808d664e9d3604a314a6a1d1c6c1398b33ae4e5cf18,30290092fbe2c5d0ab583f1bd37ac71ff1d9de00510bf0710fdfe6b5a4f9bbb2
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.007.replay_requested,REPLAY_REQUESTED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,7,history.decision.supervisor_report.initial.offline.v1.record.v1.event.006.human_review_unresolved,f4211895d7ab01019a199b1b163eeea3f5ca4df019a2e2b727270bccedaa999a,c7bac3b3e420fea3b367e35a21ea16ba18934131716ac2a4812de883ea957aa1
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.008.replay_completed,REPLAY_COMPLETED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,8,history.decision.supervisor_report.initial.offline.v1.record.v1.event.007.replay_requested,182a5f05b57a206388670b7494476aa9746f0ae38765b9ac50b85934beff66e4,ccf224832c63f0725474de77e1b902e22f5e36922b425a2358237907792861b9
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.009.reproducibility_confirmed,REPRODUCIBILITY_CONFIRMED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,9,history.decision.supervisor_report.initial.offline.v1.record.v1.event.008.replay_completed,ed44a42d91b5b9fbcfa286570b47ba3a2922a1648fa5a8fed1ad26e0c5f2783e,868d06c3c68bcede0be76f0b6f85b7664925a41e2d59ad3eef4dfc1655c59464
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.010.attestation_recorded,ATTESTATION_RECORDED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,SYSTEM,10,history.decision.supervisor_report.initial.offline.v1.record.v1.event.009.reproducibility_confirmed,9202f8db522f20baa12665705fc124be16f14c7d7247b1f23e3c8051b1b84fa5,674aacc51abe3ba016dea9e5dcd0dccc1bee26fb68680aa47a5559b0b56ddae5
history.decision.supervisor_report.initial.offline.v1.record.v1,history.decision.supervisor_report.initial.offline.v1.record.v1.event.011.prior_event_annotated,PRIOR_EVENT_ANNOTATED,EXECUTION_DECISION_RECORD,decision.supervisor_report.initial.offline.v1.record.v1,REVIEWER,11,history.decision.supervisor_report.initial.offline.v1.record.v1.event.010.attestation_recorded,a78117f0373287ae69faff1b60a66666b2be781314f572aacb3c8ee3b3bbde7b,745edc8b42a006cc8f8115d99766564f8e2c73e0078b67526630f051c3382130
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.001.history_record_created,HISTORY_RECORD_CREATED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,1,,58f79136318fe817b939ded77c270a36e4a918f8115a91952f59279117f13fe7,e46307eca96c10626732c41a7e5f014ce2ad4ea45fa7b32a0802482155d66831
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.002.decision_recorded,DECISION_RECORDED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,2,history.decision.text_cleanup.initial.offline.v1.record.v1.event.001.history_record_created,52aa8483eae4e1976abbec77b057ab51f75af63bcc7a9bd4c50e93787e9f1a27,fb8726b56f983f741ce93fa74372fac46628122e9927c5246038947f12bc59bd
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.003.review_requested,REVIEW_REQUESTED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,3,history.decision.text_cleanup.initial.offline.v1.record.v1.event.002.decision_recorded,1b58d1f6159f08057993b42f0617c7ea18ad4cf1d4f1528e40e89bce02206d81,6cd01333e5984adf5ad5d20a911caca63a1027949f5728d2d02c97628fd7172c
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.004.review_completed,REVIEW_COMPLETED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,REVIEWER,4,history.decision.text_cleanup.initial.offline.v1.record.v1.event.003.review_requested,f85acd6b9228a7f916824ad700ba929703cba052e191211b22341ef685441ae5,0af657492f09a2a4fd2320bdf0f59b8a8631b93635f1139ea1e7d1e57a57c2c2
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.005.approval_requested,APPROVAL_REQUESTED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,5,history.decision.text_cleanup.initial.offline.v1.record.v1.event.004.review_completed,25b5975d47eba62a2ff2836cca92ac41efa967648050f99860ac0003181b4f8a,1a71ee72be7da9a018c3a18d88c839ceab827f2d0521158ae37fbe7fb6456453
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.006.approved_with_conditions,APPROVED_WITH_CONDITIONS,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,REVIEWER,6,history.decision.text_cleanup.initial.offline.v1.record.v1.event.005.approval_requested,156cab0ef9b04cd2f09ec1805bf153e2e11dd1313c0e8dbae791b665a4201f9a,8652a9d24739ee90202789b19f7fd4685bc9c0b61430aec39f9843df170641da
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.007.exception_requested,EXCEPTION_REQUESTED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,REVIEWER,7,history.decision.text_cleanup.initial.offline.v1.record.v1.event.006.approved_with_conditions,3b26647da80c9c36766a8d699f9590c5bf85408e19c2d7d62254b25f2a438d7e,dc4413d57506370b4e0090eb5c54eb347db67750f15d657e63cb668f4aef9b7e
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.008.exception_granted,EXCEPTION_GRANTED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,REVIEWER,8,history.decision.text_cleanup.initial.offline.v1.record.v1.event.007.exception_requested,32b93c92c679f94f2caef2f24d14930a57732b431bb5ad8541a7eb3d880c8a11,2e2568d19d6a5c933dada69357572712f2f3c7cda31c7dac075e273682b6988f
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.009.replay_requested,REPLAY_REQUESTED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,9,history.decision.text_cleanup.initial.offline.v1.record.v1.event.008.exception_granted,a3aaf4d4ff2451ed536aafd65b6451b8bd4d64cd2b1cf2f7a80de3b46c8e693f,0e49e7cdc8d1836eb294ab14b98f3ebb4a3e41fda47961abfecee313b923a4ba
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.010.replay_completed,REPLAY_COMPLETED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,10,history.decision.text_cleanup.initial.offline.v1.record.v1.event.009.replay_requested,94aa5baf7f396e29b53fbb6472e1e0b3a1be9cef82ad4ff9b548c912cc81cda3,f4bf5bc552f7ffc4ed70267e8817660ef0d0e91afd470dc036f85cfec235ad98
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.011.reproducibility_confirmed,REPRODUCIBILITY_CONFIRMED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,11,history.decision.text_cleanup.initial.offline.v1.record.v1.event.010.replay_completed,cea61c72d337ec0599d8966348c05cb3b3a9473a57dce9187fcbf439b2a55ae5,ee7218f2d86e5350351fe0c1617ed4802afc442a67fecb256c9d627a6fe5dc1a
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.012.attestation_recorded,ATTESTATION_RECORDED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,SYSTEM,12,history.decision.text_cleanup.initial.offline.v1.record.v1.event.011.reproducibility_confirmed,f22cb5619fad10cd56eb433132554923aff2c639386b1a41581898bfe87cc18d,c2f61e8720f9829e1f3461eb114583756ccc3b97bfd86d3f50b1bcfc899f440b
history.decision.text_cleanup.initial.offline.v1.record.v1,history.decision.text_cleanup.initial.offline.v1.record.v1.event.013.prior_event_annotated,PRIOR_EVENT_ANNOTATED,EXECUTION_DECISION_RECORD,decision.text_cleanup.initial.offline.v1.record.v1,REVIEWER,13,history.decision.text_cleanup.initial.offline.v1.record.v1.event.012.attestation_recorded,79784089188a06c7cd92fe4bbc3154d950b319b24e0fdbe49bdfd7364686902d,ca2e7674c94eddb4517233ee0ee625918bf5252e4c0ad02f3a8b6458be5bd8bd
